map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.00,18.074986,0.000632,28599.66
2,3010,1.15,20.785162,0.347891,59.75
3,6010,2.29,23.791783,0.502780,47.32
4,9010,3.44,25.325604,0.772849,32.77
5,12010,4.58,29.573272,0.866136,34.14
6,15010,5.73,31.684576,0.998683,31.73
7,18010,6.87,35.038071,1.318688,26.57
8,21010,8.01,38.200954,1.270309,30.07
9,24010,9.16,41.449203,1.467494,28.24
10,27010,10.30,44.385480,1.628503,27.26
11,30010,11.45,47.057710,1.838066,25.60
12,33010,12.59,51.084386,2.287364,22.33
13,36010,13.74,53.231988,2.184001,24.37
14,39010,14.88,55.938361,2.289371,24.43
15,42010,16.03,59.443265,2.444387,24.32
16,45010,17.17,59.227364,2.434122,24.33
17,48010,18.31,61.122677,2.686350,22.75
18,51010,19.46,64.078492,2.740144,23.39
19,54010,20.60,70.262127,3.403025,20.65
20,57010,21.75,73.627473,3.227174,22.81
21,60010,22.89,76.355997,3.317738,23.01
22,63010,24.04,77.879211,3.494805,22.28
23,66010,25.18,79.571305,3.907978,20.36
24,69010,26.33,82.381049,4.427017,18.61
25,72010,27.47,83.417205,3.905384,21.36
26,75010,28.61,86.420296,4.001565,21.60
27,78010,29.76,82.088899,4.074037,20.15
28,81010,30.90,83.730677,5.193583,16.12
29,84010,32.05,91.251311,4.551411,20.05
30,87010,33.19,93.696788,5.332515,17.57
31,90010,34.34,96.748663,5.034371,19.22
32,93010,35.48,95.191481,5.187582,18.35
33,96010,36.62,96.248504,5.760807,16.71
34,99010,37.77,97.728030,5.810640,16.82
35,102010,38.91,92.202093,5.163965,17.85
36,105010,40.06,91.148711,6.229848,14.63
37,108010,41.20,99.384126,6.292419,15.79
38,111010,42.35,101.199590,6.356280,15.92
39,114010,43.49,101.470303,6.947902,14.60
40,117010,44.64,102.712957,6.403729,16.04
41,120010,45.78,104.051589,6.571110,15.83
42,123010,46.92,97.616371,6.190807,15.77
43,126010,48.07,95.454586,6.724828,14.19
44,129010,49.21,102.216708,7.080186,14.44
45,132010,50.36,100.705489,7.415959,13.58
46,135010,51.50,99.028149,8.279459,11.96
47,138010,52.65,99.246080,7.650257,12.97
48,141010,53.79,98.611752,7.743459,12.73
49,144010,54.94,92.691630,7.491430,12.37
50,147010,56.08,89.844726,8.169702,11.00
