map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.01,9.677103,0.000669,14465.03
2,2010,1.53,10.958727,0.231750,47.29
3,4010,3.06,12.616243,0.349656,36.08
4,6010,4.59,13.812273,0.433485,31.86
5,8010,6.11,16.692682,0.812621,20.54
6,10010,7.64,18.332159,1.022241,17.93
7,12010,9.16,21.698085,1.030832,21.05
8,14010,10.69,22.677719,0.981825,23.10
9,16010,12.21,24.684004,1.078808,22.88
10,18010,13.74,27.636261,2.125339,13.00
11,20010,15.27,29.277177,1.439313,20.34
12,22010,16.79,30.611660,1.319126,23.21
13,24010,18.32,31.214391,1.433128,21.78
14,26010,19.84,32.217884,1.592746,20.23
15,28010,21.37,33.862981,1.483242,22.83
16,30010,22.90,35.300474,1.620549,21.78
17,32010,24.42,38.290213,1.683210,22.75
18,34010,25.95,39.104428,1.920007,20.37
19,36010,27.47,42.223711,2.091296,20.19
20,38010,29.00,43.287494,2.207672,19.61
21,40010,30.53,44.373894,2.289074,19.39
22,42010,32.05,45.836089,2.709234,16.92
23,44010,33.58,46.942124,2.485942,18.88
24,46010,35.10,47.888903,2.936647,16.31
25,48010,36.63,48.150439,2.603780,18.49
26,50010,38.15,48.494573,2.638804,18.38
27,52010,39.68,49.503958,2.950662,16.78
28,54010,41.21,50.027111,3.510605,14.25
29,56010,42.73,49.834166,3.587441,13.89
30,58010,44.26,50.166251,3.221114,15.57
31,60010,45.78,47.266431,3.486491,13.56
32,62010,47.31,47.585912,3.529966,13.48
33,64010,48.84,48.467531,3.320316,14.60
34,66010,50.36,49.690642,3.460319,14.36
35,68010,51.89,49.995842,4.670343,10.70
36,70010,53.41,49.444839,3.788270,13.05
37,72010,54.94,49.776569,4.370542,11.39
38,74010,56.47,49.205363,4.372205,11.25
39,76010,57.99,48.020193,10.087540,4.76
40,78010,59.52,47.648573,10.469861,4.55
41,80010,61.04,47.213231,10.702754,4.41
42,82010,62.57,46.145027,11.310238,4.08
43,84010,64.09,44.757635,10.658333,4.20
44,86010,65.62,41.429147,10.144837,4.08
45,88010,67.15,39.678908,10.120317,3.92
46,90010,68.67,38.765536,10.692839,3.63
47,92010,70.20,39.514022,11.135866,3.55
48,94010,71.72,37.810277,12.912653,2.93
49,96010,73.25,37.205281,12.936135,2.88
50,98010,74.78,35.430205,12.845390,2.76
