map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.00,73.021361,0.000548,133250.66
2,3010,0.29,74.014836,0.113503,652.10
3,6010,0.57,79.112665,0.240221,329.33
4,9010,0.86,81.466978,0.361622,225.28
5,12010,1.15,82.713837,0.506651,163.26
6,15010,1.43,85.911748,0.829139,103.62
7,18010,1.72,88.393692,0.720906,122.61
8,21010,2.00,90.335229,0.875708,103.16
9,24010,2.29,92.739253,0.920718,100.72
10,27010,2.58,95.009173,3.393016,28.00
11,30010,2.86,91.439656,3.253475,28.11
12,33010,3.15,94.065713,3.615117,26.02
13,36010,3.43,102.008578,4.531348,22.51
14,39010,3.72,108.106026,4.186500,25.82
15,42010,4.01,108.692665,4.518420,24.06
16,45010,4.29,111.602391,4.787435,23.31
17,48010,4.58,115.359966,5.332558,21.63
18,51010,4.86,117.116223,5.426178,21.58
19,54010,5.15,111.489927,5.711801,19.52
20,57010,5.44,116.798781,6.799391,17.18
21,60010,5.72,127.254408,6.694741,19.01
22,63010,6.01,129.092673,7.586240,17.02
23,66010,6.30,134.184770,8.446339,15.89
24,69010,6.58,134.650620,8.520727,15.80
25,72010,6.87,131.939750,7.473432,17.65
26,75010,7.15,131.974838,8.456618,15.61
27,78010,7.44,145.113419,8.633922,16.81
28,81010,7.73,148.665016,9.405080,15.81
29,84010,8.01,150.976765,8.971647,16.83
30,87010,8.30,154.092484,9.050578,17.03
31,90010,8.58,146.500697,9.294351,15.76
32,93010,8.87,159.350819,10.975888,14.52
33,96010,9.16,164.973102,11.234478,14.68
34,99010,9.44,168.067996,10.893891,15.43
35,102010,9.73,167.786397,10.205427,16.44
36,105010,10.01,161.197338,11.825397,13.63
37,108010,10.30,176.648926,11.587503,15.24
38,111010,10.59,181.104624,12.537306,14.45
39,114010,10.87,182.263279,13.042302,13.97
40,117010,11.16,174.147431,12.246579,14.22
41,120010,11.45,183.927050,13.247553,13.88
42,123010,11.73,195.382545,14.164761,13.79
43,126010,12.02,197.427615,14.321681,13.79
44,129010,12.30,186.531627,13.888629,13.43
45,132010,12.59,199.500139,15.062176,13.25
46,135010,12.88,208.004132,18.122119,11.48
47,138010,13.16,213.873553,16.029347,13.34
48,141010,13.45,196.577704,15.459522,12.72
49,144010,13.73,210.009621,16.609716,12.64
50,147010,14.02,219.032626,16.632338,13.17
