map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.02,4.567409,0.000523,8733.10
2,1010,1.54,6.040995,0.104924,57.57
3,2010,3.07,6.863192,0.142557,48.14
4,3010,4.59,10.826922,0.311822,34.72
5,4010,6.12,8.635833,0.249599,34.60
6,5010,7.64,10.351018,0.261483,39.59
7,6010,9.17,11.848390,0.310423,38.17
8,7010,10.70,11.704922,0.341330,34.29
9,8010,12.22,12.952184,0.553659,23.39
10,9010,13.75,13.633170,0.420705,32.41
11,10010,15.27,14.532996,0.463222,31.37
12,11010,16.80,15.358491,0.550082,27.92
13,12010,18.33,16.350996,0.853976,19.15
14,13010,19.85,17.031883,0.813166,20.95
15,14010,21.38,17.956617,0.667135,26.92
16,15010,22.90,18.877701,0.796330,23.71
17,16010,24.43,19.343911,0.705945,27.40
18,17010,25.96,19.378829,0.815474,23.76
19,18010,27.48,19.429194,0.926287,20.98
20,19010,29.01,20.365589,0.908646,22.41
21,20010,30.53,20.303040,0.970617,20.92
22,21010,32.06,21.592068,1.183663,18.24
23,22010,33.58,20.970260,0.973266,21.55
24,23010,35.11,21.906327,1.011931,21.65
25,24010,36.64,22.421882,1.030711,21.75
26,25010,38.16,24.405772,1.072368,22.76
27,26010,39.69,24.816133,1.152886,21.53
28,27010,41.21,25.094454,1.191412,21.06
29,28010,42.74,25.371018,1.284536,19.75
30,29010,44.27,25.215969,1.274804,19.78
31,30010,45.79,25.263222,1.700465,14.86
32,31010,47.32,24.763640,1.413449,17.52
33,32010,48.84,25.688465,1.446270,17.76
34,33010,50.37,25.912526,1.366936,18.96
35,34010,51.90,25.445700,1.859127,13.69
36,35010,53.42,24.146528,1.917859,12.59
37,36010,54.95,24.693199,1.743588,14.16
38,37010,56.47,24.783263,1.635554,15.15
39,38010,58.00,24.350208,5.008915,4.86
40,39010,59.52,22.542437,4.762594,4.73
41,40010,61.05,23.799356,4.455798,5.34
42,41010,62.58,22.745298,5.378509,4.23
43,42010,64.10,22.229954,4.636568,4.79
44,43010,65.63,21.710882,5.622153,3.86
45,44010,67.15,20.814794,5.289729,3.93
46,45010,68.68,20.355882,4.943261,4.12
47,46010,70.21,18.446601,5.116460,3.61
48,47010,71.73,18.526950,5.455760,3.40
49,48010,73.26,16.505961,5.765350,2.86
50,49010,74.78,16.798560,5.831189,2.88
