map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.00,18.948799,0.000528,35887.88
2,2010,0.77,20.235006,0.314853,64.27
3,4010,1.53,21.487306,0.288941,74.37
4,6010,2.29,23.507362,0.488972,48.08
5,8010,3.06,25.734449,0.573838,44.85
6,10010,3.82,27.257574,0.536312,50.82
7,12010,4.58,28.446420,0.684410,41.56
8,14010,5.34,30.764291,1.225026,25.11
9,16010,6.11,32.995970,0.845262,39.04
10,18010,6.87,34.644944,0.911835,37.99
11,20010,7.63,36.888851,0.972503,37.93
12,22010,8.40,38.939403,1.035083,37.62
13,24010,9.16,40.959754,1.174613,34.87
14,26010,9.92,43.125562,1.212370,35.57
15,28010,10.68,42.647957,1.295951,32.91
16,30010,11.45,45.172514,1.312077,34.43
17,32010,12.21,46.283481,1.494174,30.98
18,34010,12.97,49.673778,1.541744,32.22
19,36010,13.74,53.785605,1.590377,33.82
20,38010,14.50,55.638806,1.967784,28.27
21,40010,15.26,58.174940,1.942171,29.95
22,42010,16.03,61.452262,1.832808,33.53
23,44010,16.79,62.098948,2.072191,29.97
24,46010,17.55,64.690369,2.099011,30.82
25,48010,18.31,66.408152,2.478123,26.80
26,50010,19.08,67.979634,2.259472,30.09
27,52010,19.84,69.347838,2.315423,29.95
28,54010,20.60,69.905957,2.238952,31.22
29,56010,21.37,67.716539,2.447736,27.66
30,58010,22.13,70.195572,2.527255,27.78
31,60010,22.89,74.693406,2.533978,29.48
32,62010,23.65,76.677793,2.667455,28.75
33,64010,24.42,78.574857,2.720431,28.88
34,66010,25.18,80.585643,2.913482,27.66
35,68010,25.94,82.429725,3.427000,24.05
36,70010,26.71,83.993457,3.123729,26.89
37,72010,27.47,84.747341,3.757656,22.55
38,74010,28.23,84.325319,2.977475,28.32
39,76010,29.00,80.695671,3.256613,24.78
40,78010,29.76,83.047222,3.459574,24.01
41,80010,30.52,89.299655,4.017958,22.23
42,82010,31.28,91.518812,3.786430,24.17
43,84010,32.05,91.742144,3.764947,24.37
44,86010,32.81,93.220060,4.068050,22.92
45,88010,33.57,93.335740,3.910041,23.87
46,90010,34.34,93.993474,3.769240,24.94
47,92010,35.10,90.057498,4.071219,22.12
48,94010,35.86,90.218338,4.016505,22.46
49,96010,36.62,96.186862,3.926763,24.50
50,98010,37.39,98.758420,4.207159,23.47
