map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.00,72.603941,0.000480,151258.21
2,3010,0.29,73.892596,0.146343,504.93
3,6010,0.57,75.428688,0.228015,330.81
4,9010,0.86,79.601981,0.342018,232.74
5,12010,1.15,82.013101,0.458531,178.86
6,15010,1.43,85.055165,0.571324,148.87
7,18010,1.72,87.284202,0.690507,126.41
8,21010,2.00,89.664498,0.903824,99.21
9,24010,2.29,91.513495,1.381794,66.23
10,27010,2.58,94.289790,2.935550,32.12
11,30010,2.86,95.890608,3.999250,23.98
12,33010,3.15,95.250313,3.291441,28.94
13,36010,3.43,95.865616,3.757606,25.51
14,39010,3.72,102.284697,4.155704,24.61
15,42010,4.01,106.862799,4.631066,23.08
16,45010,4.29,110.257315,5.436196,20.28
17,48010,4.58,113.689729,5.165075,22.01
18,51010,4.86,113.050037,5.269628,21.45
19,54010,5.15,118.052066,6.100039,19.35
20,57010,5.44,114.141515,5.694581,20.04
21,60010,5.72,121.912921,6.594454,18.49
22,63010,6.01,126.812418,7.020282,18.06
23,66010,6.30,131.935251,7.329903,18.00
24,69010,6.58,134.814551,7.657599,17.61
25,72010,6.87,135.693390,8.164389,16.62
26,75010,7.15,133.873925,7.762570,17.25
27,78010,7.44,134.445206,8.869834,15.16
28,81010,7.73,144.787897,8.952277,16.17
29,84010,8.01,149.541055,9.905157,15.10
30,87010,8.30,153.626097,10.096220,15.22
31,90010,8.58,154.114066,9.563975,16.11
32,93010,8.87,147.544959,10.167085,14.51
33,96010,9.16,162.278136,10.440095,15.54
34,99010,9.44,164.953832,11.621580,14.19
35,102010,9.73,169.513600,11.528871,14.70
36,105010,10.01,170.040998,11.177254,15.21
37,108010,10.30,166.083962,11.994005,13.85
38,111010,10.59,177.445500,12.592326,14.09
39,114010,10.87,179.345564,12.044608,14.89
40,117010,11.16,183.001298,12.648185,14.47
41,120010,11.45,173.105714,12.287892,14.09
42,123010,11.73,187.989270,13.609206,13.81
43,126010,12.02,196.749640,14.382515,13.68
44,129010,12.30,195.196944,13.784708,14.16
45,132010,12.59,187.752001,13.762490,13.64
46,135010,12.88,202.024625,15.455126,13.07
47,138010,13.16,207.572335,15.032460,13.81
48,141010,13.45,209.302772,15.289318,13.69
49,144010,13.73,200.607128,16.101431,12.46
50,147010,14.02,217.932763,16.819071,12.96
