map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.02,5.070867,0.000520,9751.67
2,1010,1.54,5.102004,0.115605,44.13
3,2010,3.07,6.341265,0.143142,44.30
4,3010,4.59,7.858964,0.216844,36.24
5,4010,6.12,8.517777,0.225501,37.77
6,5010,7.64,8.662019,0.259048,33.44
7,6010,9.17,10.764887,0.304215,35.39
8,7010,10.70,11.645617,0.342578,33.99
9,8010,12.22,12.538927,0.635667,19.73
10,9010,13.75,14.100998,0.432490,32.60
11,10010,15.27,14.269826,0.516682,27.62
12,11010,16.80,15.480157,0.502317,30.82
13,12010,18.33,16.504069,0.660825,24.97
14,13010,19.85,16.986692,0.713430,23.81
15,14010,21.38,18.398735,0.805670,22.84
16,15010,22.90,19.353671,0.705446,27.43
17,16010,24.43,19.839616,0.774567,25.61
18,17010,25.96,20.177892,0.746816,27.02
19,18010,27.48,19.592676,0.832818,23.53
20,19010,29.01,19.908842,0.785160,25.36
21,20010,30.53,20.633508,0.945329,21.83
22,21010,32.06,20.993304,0.897673,23.39
23,22010,33.58,21.660684,0.905634,23.92
24,23010,35.11,21.845455,0.982956,22.22
25,24010,36.64,22.290577,1.102666,20.22
26,25010,38.16,23.578802,1.152295,20.46
27,26010,39.69,23.843066,1.123360,21.22
28,27010,41.21,24.302402,1.327603,18.31
29,28010,42.74,24.942545,1.356278,18.39
30,29010,44.27,24.761298,1.789904,13.83
31,30010,45.79,25.460529,1.275815,19.96
32,31010,47.32,25.504772,1.319501,19.33
33,32010,48.84,25.914984,1.403821,18.46
34,33010,50.37,24.693470,1.556248,15.87
35,34010,51.90,25.476779,1.487439,17.13
36,35010,53.42,25.371759,1.480152,17.14
37,36010,54.95,25.025508,1.550277,16.14
38,37010,56.47,24.388033,1.804439,13.52
39,38010,58.00,23.611281,4.477004,5.27
40,39010,59.52,23.729917,4.436995,5.35
41,40010,61.05,22.879956,4.377742,5.23
42,41010,62.58,22.731695,4.357665,5.22
43,42010,64.10,22.195427,5.119478,4.34
44,43010,65.63,21.249973,4.682518,4.54
45,44010,67.15,20.895345,5.335324,3.92
46,45010,68.68,19.680111,4.925967,4.00
47,46010,70.21,18.424878,4.903786,3.76
48,47010,71.73,18.177300,4.957778,3.67
49,48010,73.26,17.656698,5.510714,3.20
50,49010,74.78,16.244242,5.943160,2.73
