map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.00,76.843609,0.000586,131132.44
2,3010,0.29,77.333740,0.124652,620.40
3,6010,0.57,80.111070,0.290358,275.90
4,9010,0.86,76.179925,0.344430,221.18
5,12010,1.15,76.774236,0.459865,166.95
6,15010,1.43,79.392862,0.833876,95.21
7,18010,1.72,85.782761,0.726084,118.14
8,21010,2.00,89.451761,0.913916,97.88
9,24010,2.29,91.446503,0.968345,94.44
10,27010,2.58,94.635579,3.649993,25.93
11,30010,2.86,97.090599,3.222142,30.13
12,33010,3.15,99.555883,3.592023,27.72
13,36010,3.43,102.232315,4.152445,24.62
14,39010,3.72,98.871533,4.018073,24.61
15,42010,4.01,99.479407,4.432161,22.44
16,45010,4.29,108.720439,4.998750,21.75
17,48010,4.58,114.267589,5.767913,19.81
18,51010,4.86,116.005510,5.585862,20.77
19,54010,5.15,119.106520,6.615130,18.01
20,57010,5.44,123.724104,7.059604,17.53
21,60010,5.72,122.709049,6.419215,19.12
22,63010,6.01,119.358049,6.352915,18.79
23,66010,6.30,131.310644,7.318768,17.94
24,69010,6.58,135.200038,7.407106,18.25
25,72010,6.87,139.570957,8.638970,16.16
26,75010,7.15,141.912627,7.921210,17.92
27,78010,7.44,140.239660,8.221392,17.06
28,81010,7.73,138.405541,8.655084,15.99
29,84010,8.01,150.690758,9.989617,15.08
30,87010,8.30,153.917288,9.352732,16.46
31,90010,8.58,157.555471,9.529270,16.53
32,93010,8.87,159.321316,9.299938,17.13
33,96010,9.16,153.226177,10.162705,15.08
34,99010,9.44,164.536856,11.068018,14.87
35,102010,9.73,169.161349,12.063945,14.02
36,105010,10.01,173.884116,12.254319,14.19
37,108010,10.30,172.605718,11.278469,15.30
38,111010,10.59,175.648221,12.801440,13.72
39,114010,10.87,182.880719,13.060572,14.00
40,117010,11.16,188.694450,13.473637,14.00
41,120010,11.45,185.666099,12.427504,14.94
42,123010,11.73,178.484598,13.815882,12.92
43,126010,12.02,191.041857,14.737331,12.96
44,129010,12.30,199.325841,14.929755,13.35
45,132010,12.59,199.743756,13.959410,14.31
46,135010,12.88,191.859616,15.149867,12.66
47,138010,13.16,207.059614,15.609708,13.26
48,141010,13.45,209.733149,16.114714,13.02
49,144010,13.73,204.545211,14.752414,13.87
50,147010,14.02,208.471974,16.541513,12.60
