map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.02,4.877362,0.000612,7969.55
2,1010,1.54,5.183388,0.103430,50.11
3,2010,3.07,6.412653,0.180947,35.44
4,3010,4.59,7.024587,0.215490,32.60
5,4010,6.12,8.700724,0.294098,29.58
6,5010,7.64,8.879708,0.274471,32.35
7,6010,9.17,10.561314,0.344333,30.67
8,7010,10.70,11.551963,0.323596,35.70
9,8010,12.22,11.969914,0.419395,28.54
10,9010,13.75,13.746586,0.510561,26.92
11,10010,15.27,14.739111,0.466930,31.57
12,11010,16.80,14.788464,0.477943,30.94
13,12010,18.33,15.435912,0.569292,27.11
14,13010,19.85,16.602076,0.581979,28.53
15,14010,21.38,16.721244,0.988721,16.91
16,15010,22.90,18.504440,0.657503,28.14
17,16010,24.43,19.111410,0.874981,21.84
18,17010,25.96,19.349249,0.795128,24.33
19,18010,27.48,19.967489,0.745802,26.77
20,19010,29.01,21.359385,0.875312,24.40
21,20010,30.53,22.931648,0.867239,26.44
22,21010,32.06,22.072520,0.985247,22.40
23,22010,33.58,23.028243,1.279330,18.00
24,23010,35.11,23.688522,1.271522,18.63
25,24010,36.64,23.594753,1.242796,18.99
26,25010,38.16,24.484452,1.173203,20.87
27,26010,39.69,24.577062,1.162515,21.14
28,27010,41.21,24.926610,1.365508,18.25
29,28010,42.74,25.385083,1.608837,15.78
30,29010,44.27,25.290543,1.311835,19.28
31,30010,45.79,26.483942,1.390863,19.04
32,31010,47.32,26.171021,1.381928,18.94
33,32010,48.84,25.377757,1.428836,17.76
34,33010,50.37,25.210257,1.556729,16.19
35,34010,51.90,24.761886,1.729048,14.32
36,35010,53.42,24.630435,1.647508,14.95
37,36010,54.95,24.749442,1.554092,15.93
38,37010,56.47,24.705677,1.563450,15.80
39,38010,58.00,23.500011,4.778349,4.92
40,39010,59.52,23.920195,4.324819,5.53
41,40010,61.05,23.565563,5.032514,4.68
42,41010,62.58,22.026441,4.676081,4.71
43,42010,64.10,20.126824,4.625139,4.35
44,43010,65.63,20.209520,4.431691,4.56
45,44010,67.15,19.570485,4.735193,4.13
46,45010,68.68,19.290318,4.988618,3.87
47,46010,70.21,18.673412,5.284732,3.53
48,47010,71.73,17.310687,5.444691,3.18
49,48010,73.26,18.413375,5.241601,3.51
50,49010,74.78,17.042250,5.535300,3.08
