map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.00,18.961387,0.000905,20951.81
2,2010,0.77,20.157617,0.197671,101.98
3,4010,1.53,21.318378,0.335236,63.59
4,6010,2.29,23.359114,0.355126,65.78
5,8010,3.06,24.041433,0.450350,53.38
6,10010,3.82,26.231535,0.505167,51.93
7,12010,4.58,28.403055,0.616507,46.07
8,14010,5.34,30.454449,0.694838,43.83
9,16010,6.11,32.724685,0.792713,41.28
10,18010,6.87,34.827072,0.861799,40.41
11,20010,7.63,36.482980,1.106586,32.97
12,22010,8.40,39.325227,1.050506,37.43
13,24010,9.16,41.683059,1.165438,35.77
14,26010,9.92,44.002993,1.423827,30.90
15,28010,10.68,45.752771,1.302972,35.11
16,30010,11.45,49.307099,1.601900,30.78
17,32010,12.21,50.140865,1.536739,32.63
18,34010,12.97,53.034200,1.458678,36.36
19,36010,13.74,53.341478,1.583127,33.69
20,38010,14.50,53.150067,1.580458,33.63
21,40010,15.26,55.037485,1.767226,31.14
22,42010,16.03,57.221876,1.734961,32.98
23,44010,16.79,62.711180,2.249670,27.88
24,46010,17.55,64.454936,2.122011,30.37
25,48010,18.31,65.725561,2.353103,27.93
26,50010,19.08,66.947436,2.286776,29.28
27,52010,19.84,68.470636,2.888632,23.70
28,54010,20.60,71.311419,2.354383,30.29
29,56010,21.37,72.326117,2.586561,27.96
30,58010,22.13,73.865066,2.586929,28.55
31,60010,22.89,74.902809,2.431878,30.80
32,62010,23.65,74.621523,2.614121,28.55
33,64010,24.42,72.857521,2.582043,28.22
34,66010,25.18,78.006988,2.902809,26.87
35,68010,25.94,80.899797,2.879050,28.10
36,70010,26.71,83.478714,3.321186,25.14
37,72010,27.47,85.361518,3.031175,28.16
38,74010,28.23,86.353884,3.624800,23.82
39,76010,29.00,88.254035,3.694104,23.89
40,78010,29.76,89.077308,3.441055,25.89
41,80010,30.52,85.332429,3.357194,25.42
42,82010,31.28,84.955393,3.400818,24.98
43,84010,32.05,90.153458,4.145072,21.75
44,86010,32.81,92.127840,3.661131,25.16
45,88010,33.57,93.202959,3.918469,23.79
46,90010,34.34,94.105054,3.965927,23.73
47,92010,35.10,93.953253,4.019456,23.37
48,94010,35.86,95.360709,3.952090,24.13
49,96010,36.62,93.807098,4.150549,22.60
50,98010,37.39,90.681207,4.032797,22.49
